"ea_id","ea_name"
"EA1","Aberdeen City"
"EA2","Aberdeenshire"
"EA3","Angus"
"EA4","Argyll And Bute"
"EA5","City Of Glasgow"
"EA6","Clackmannanshire"
"EA7","Comhairle Nan Eilean Siar"
"EA8","Dumfries And Galloway"
"EA9","Dundee City"
"EA10","East Ayrshire"
"EA11","East Dunbartonshire"
"EA12","East Lothian"
"EA13","East Renfrewshire"
"EA14","Falkirk"
"EA15","Fife"
"EA16","Highland"
"EA17","Inverclyde"
"EA18","Midlothian"
"EA19","North Ayrshire"
"EA20","North Lanarkshire"
"EA21","Orkney Islands"
"EA22","Perth And Kinross"
"EA23","Renfrewshire"
"EA24","Scottish Borders"
"EA25","Shetland Islands"
"EA26","South Ayrshire"
"EA27","South Lanarkshire"
"EA28","Stirling"
"EA29","City Of Edinburgh"
"EA30","Moray"
"EA31","West Dunbartonshire"
"EA32","West Lothian"
