"local_authority","deprv.rnk"
"West Dunbartonshire",1
"Glasgow City",2
"North Ayrshire",3
"Inverclyde",4
"Dundee City",5
"North Lanarkshire",6
"East Ayrshire",7
"Clackmannanshire",8
"Renfrewshire",9
"South Lanarkshire",10
"West Lothian",11
"Fife",12
"Falkirk",13
"Midlothian",14
"South Ayrshire",15
"Aberdeen City",16
"East Lothian",17
"Dumfries And Galloway",18
"City Of Edinburgh",19
"Angus",20
"Stirling",21
"Argyll And Bute",22
"Highland",23
"East Dunbartonshire",24
"Perth And Kinross",25
"Scottish Borders",26
"East Renfrewshire",27
"Moray",28
"Na h-Eileanan Siar",29
"Aberdeenshire",30
"Shetland Islands",31
"Orkney Islands",32
